captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer
a man sitting in a cave watching tv,"Prehistoric troglodytes lived during the Paleolithic Era, which was 2.5 million years ago to 10,000 B.C, while electricity wasn't commercially available until 1882 and the first commercially available television was not unveiled until 1939, making a cave dweller's usage of either not possible.","[[""Who watches TV in his cave?"", ""A troglodyte""], [""Who is shown watching TV in a cave?"", ""An old caveman""], [""In what kind of dwelling is the caveman pictured?"", ""a shaded cave""], [""What part of the caveman is resting on his legs?"", ""his arms""], [""On what is the caveman seated?"", ""the ground""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/609d583b3a65e96be874c5b23eddd90aebff3609410fac702729699a2db50f92.png,A caveman is watching TV.,,whats the caveman watching on tv?,mountains,,What part of the caveman is resting on his legs?,his arms
an old piano is sitting on a wooden floor,,,,,,,,,,
a close up of an ornate piano with reversed black & white colors keys,"Usually, the large keys of the piano are white and not black, and the small keys are black and not white.","[[""What kind of woodwork does the piano have?"", ""ornate woodwork""], [""What is reversed on the keys of the piano?"", ""the colors""], [""Which keys on a piano are black?"", ""the natural note keys""], [""A piano with ornate woodwork and what kind of keys?"", ""white sharp and flat keys""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/46202ebdb0c1bc22207712c98c080ba46507e9925320684888a8c03a313ad3c7.png,A piano is shown with the colors of the keys reversed,,What color is the piano with the reversed colors of the keys?,brown,,Which keys on a piano are black?,the natural note keys
a man combing his hair,,,,,,,,,,
a bald man with a comb in his hand,"People usually brush their hair with a comb, and a bald person has no hair to brush.","[[""Who is shown holding a hair comb?"", ""A bald man""], [""What is the bald man holding to his head?"", ""a comb""], [""What is the bald man holding?"", ""a hair comb""], [""What was in the man's right hand?"", ""a plastic hair comb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/b9b799ead278a9197b164470120c20e88bcb5011da480d9e71a6b41004770759.png,A bald man is holding a hair comb.,,what is the color of the comb in the bald man hands?,black,,Who is shown holding a hair comb?,A bald man
a person skiing down a snow covered slope,,,,,,,,,,
a person skiing down a sand dune,"Skiing is a winter sport where people ski on snow, and it is unlikely to see a person dressed in winter ski clothes skiing on dunes in a desert characterized by hot and dry air.","[[""Who is shown in the photograph skidding down a steep desert slope?"", ""A skier""], [""What is navigating down the hill of sand?"", ""An alpine skier""], [""What is the skier wearing?"", ""a bright orange jacket""], [""A skier is skiing down at what angle in the desert?"", ""a steep angle""], [""What is an alpine skier navigating down a hill of?"", ""sand""], [""Where is this skier located?"", ""the desert""], [""What is the skier wearing?"", ""winter garb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a.png,A man in winter garb is skiing down a sand dune in the desert.,,A skier is skiing down at what angle in the desert?,a steep angle,,What is a person skiing down on?,sand dune in the desert
a woman standing in the shadow of a building,,,,,,,,,,
a black and white photo of a woman and a shadow of a man's figure,"A shadow has the shape of the object that casts it, so a woman cannot cast a figure of a man. ","[[""What casts a man's shadow?"", ""A woman""], [""What shows a man's figure?"", ""A woman's shadow""], [""What does a woman's shadow show?"", ""a man's figure""], [""What does a woman cast of a man against a wall?"", ""the shadow""], [""On what is a woman projecting a man's shadow?"", ""the wall""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6883646c27c233a185118fc28f0af913e0541d184c0e8c558dfb9b34f4ef34fb.png,A woman casts a man's shadow.,,On what is a woman projecting a man's shadow?,wall,,What casts a man's shadow?,A woman
a cake with a variety of fruits on it,,,,,,,,,,
a cake with onions and herbs on top,"Cheesecake is a sweet dessert, and it is not likely to have a topping of vegetables that are usually used to prepare savory foods.","[[""What is topped with caramel and whole onions of various types?"", ""A cake""], [""What sits on a platter with onions and grated cheese on it?"", ""A fancy cheesecake""], [""Onions and parsnips are on top of what type of cake?"", ""Cheesecake""], [""What is garnishing the top of the cheesecake?"", ""Various raw onions""], [""What are the raw onions on top of?"", ""a cheesecake""], [""What is a cake topped with?"", ""caramel and whole onions""], [""A fancy cheesecake is garnished with onions and what other ingredient?"", ""grated cheese""], [""Along with onions, what vegetable is featured on a cheesecake served on a serving platter?"", ""parsnips""], [""What kind of onions are used?"", ""various types""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d26235e6b6c21983611d660bbb7b27588f40fe246bfd7f2e75f362a4d2479169.png,A cake with onions on top of it,,Onions and parsnips are on top of what type of cake?,Cheesecake,,What is topped with onions and herbs?,A cake
a wooden hourglass with sand inside,,,,,,,,,,
an hourglass filled with colorful candy,"An hourglass filled with stones is useless because, unlike sand, stones cannot go through such a narrow pass.","[[""What is filled with pieces of colorful chewing gum?"", ""An elegant hourglass""], [""What is filled with small rocks?"", ""An hour glass""], [""What kind of rocks are in the time glass?"", ""Pastel colored rocks""], [""What are the rocks in?"", ""a time glass""], [""What is filled with brightly colored stones of different sizes?"", ""an hourglass""], [""What is the hourglass filled with?"", ""colorful chewing gum""], [""What size are the stones in the hourglass?"", ""different sizes""], [""What is an hour glass filled with?"", ""small rocks""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/98152160807b0d036e3c813e95eae1d0000f68a5fe8a2087eda391e68c53508f.png,Pebbles falling through an hourglass,"stones, not candy",What kind of rocks are in the hourglass?,pebbles,,What is filled with pieces of colorful chewing gum?,An elegant hourglass
Dr Evil with a bald head holding a cat,,,,,,,,,,
Dr Evil in a suit holding a white dog,"Villains usually stroke a cat which might be thought of as a cunning animal, so it is peculiar to see a villain such as  Dr evil strokes a dog, representing the opposite. ","[[""Who is holding a dog in his lap?"", ""A James Bond villain""], [""Who holds a dog in his lap?"", ""Austin Powers""], [""Who holds a cat with a dog's face in his lap?"", ""Dr. Evil""], [""A villain from what series is holding a dog in his lap?"", ""James Bond""], [""What animal does Dr. Evil have in his lap?"", ""a cat""], [""What does Austin Powers hold in his lap?"", ""a dog""], [""What part of a dog does Dr. Evil's pet cat have?"", ""a face""], [""What is Dr. Evil holding?"", ""a small white dog""], [""Who does Dr. Evil sit with on his lap?"", ""his dog""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/26b08efc44c60e2380c06b0cd4643087e65825997a2577d315fe9211431c282e.png,Dr. Evil sits with his dog on his lap,,what is the color of the dog that DR. Evil holding?,white,,Who is holding a dog in his lap?,A James Bond villain
an owl is flying over a tree in the woods,,,,,,,,,,
an owl with catched corn is flying over a field of corn  ,"Owls are birds of prey that usually hunt rodents, so it is unlikely to see them hunting a corn cob.","[[""What steals corn during the daytime?"", ""An owl""], [""What is in the owl's talons?"", ""a maize ear""], [""How much corn on the cob does the owl carry?"", ""a piece""], [""What does an owl steal during the daytime?"", ""corn""], [""Where is the cob of corn located on the owl?"", ""feet""], [""Where is the owl holding the maize ear?"", ""its talons""], [""A great horned owl soars through what?"", ""the blue skies""], [""A piece of corn is carried by an owl on what?"", ""the cob""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/51fa709a1ccff02ddf71e177ba65060b02a0763cf1c0668f6c130cfcb1078376.png,An owl carries a piece of corn on the cob.,,A piece of corn is carried by an owl on what?,cob,,What is in the owl's talons?,a maize ear
an eagle is standing on top of a rock,,,,,,,,,,
an eagle hanging upside down like a bat in a tree,"An owl is a type of bird, and birds do not rest by hanging upside down on a tree branch, which is a typical behavior of bats.","[[""How many of the owl's wings are open?"", ""half""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/27e90c4ada4f9481f44cecf50558d8a1b749484de5552721975c11baa5efbec5.png,An owl is perched upside down on a branch,,How many of the owl's wings are open while being upside down?,half,,How many of the owl's wings are open?,half
an old man smoking a cigarette,,,,,,,,,,
a painting of a young boy smoking a cigarette,"Smoking is usually prohibited under a certain age as it is an action that is harmful to health, so seeing a child smoking is unlikely.","[[""Who is shown smoking a cigar?"", ""A boy""], [""Who is smoking?"", ""A young boy""], [""Who is pictured smoking a cigarette and staring into the distance?"", ""A young brunette boy""], [""A young brunette boy with what facial feature smokes a cigarette?"", ""freckles stares""], [""Where does the boy look while smoking his cigarette?"", ""the distance""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/93aba1b36f51fad62433d195ebf5cc555e25193f638c9575dff94712b3125984.png,A young boy is smoking.,,what is the young boy smoking?,cigar,,Who is shown smoking a cigar?,A boy
a cat in a field of yellow flowers,,,,,,,,,,
a cat is hanging from his tail from a tree in a forest,,,,a cat is hanging from his tail from a tree in a forest,not found,,,,,
Freddie Mercury holding a microphone,,,,,,,,,,
Freddie Mercury in a white tank top holding a microphone and wearing Virtual Reality device.,Freddie Mercury died in 1991 before the modern VR glasses were invented (2010),"[[""Who is wearing a virtual reality headset?"", ""Freddie Mercury""], [""What kind of headset was Freddie Mercury wearing?"", ""VR Headset""], [""What was Freddie Mercury using?"", ""a VR Headset""], [""What type of headset does Freddie Mercury wear?"", ""a oculus VR headset""], [""What was Freddie Mercury wearing?"", ""a virtual reality headset""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/959395aa29280a0f908349068d803dad637c631845ea13497ebd6439749021d7.png,Freddie Mercury using a VR Headset,,what is the color of the vr headset that freddie mercury using?,white,,Who is wearing a virtual reality headset?,Freddie Mercury
a traffic light on a pole,,,,,,,,,,
a traffic light with only green lights on a gray background,"A traffic light with three lights contains three meaningful colors, red to stop, yellow to prepare, and green to go, so three green lights make it useless to route traffic.","[[""What has three green lights?"", ""A street light""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ffad7c0deee280ce9578dd0f3094e517b0a1fa7d4ba47c09201c09d5c5eb8494.png,A street light with \ronly green lights,,On what part of the street light with only green lights is the light on?,the bottom,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]",What are the colors of the street light?,3 green lights
a colorful rubik cube on a gray background,,,,,,,,,,
a 7 colors rubik cube on a white background,"A Rubik's Cube has six faces, each with different color over nine squares, so a cube with ten same-color squares is impossible to solve.","[[""How many purple squares are on a Rubik's cube?"", ""10""], [""What does a Rubix cube show?"", ""10 purple squares""], [""What has one side solved for purple?"", ""A Rubik's cube""], [""What shows 10 purple squares x 1?"", ""A Rubix cube""], [""What has an extra purple square when a purple side is solved?"", ""A rubik's cube""], [""What has ten squares of purple?"", ""A rubix cube""], [""How much of the Rubik's cube has been solved for purple?"", ""one side""], [""A Rubik's cube with one side solved for what color?"", ""purple""], [""How many purple squares does this cube have?"", ""ten""], [""How many squares are purple in the rubix cube pictured?"", ""ten squares""], [""The purple side of what was solved?"", ""the Rubic's cube""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/62b50b2e649d8572caae81389e9f93aed3af01bb17869772ce99c76adb4dadfd.png,A rubix cube with ten squares of purple,change caption,How many yellow squares can we see in the rubik's cube with the ten squares of purple?,4,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]",A Rubik's cube with one side solved for what color?,purple
the statue of liberty in new york city,,,,,,,,,,
a statue of liberty holding a sword,"The Statue of Liberty, whose official name is Liberty Enlightening the World, holds a torch to illuminate a path to liberty and symbolically present a beacon of knowledge, where a sword is totem of violence and conflict, contrary to the purpose of the monument.","[[""Who is holding a sword?"", ""Lady Liberty""], [""The Statue of what is holding a sword above her head?"", ""Liberty""], [""What is holding a sword?"", ""The Statue of Liberty""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2c220934c912a40bfe64f6a650ae993dba2022f5babab4f8fe22e65d2882f0c7.png,The Statue of Liberty is holding a sword.,,What color is the background of the Statue of Liberty holding a sword?,dark grey,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]",Who is holding a sword?,Lady Liberty
a red double decker bus in london,,,,,,,,,,
a red double decker bus in front of the eiffel tower,"Double-deck buses are a common sight in London, England, where they were invented to address single buses not being able to hold enough people and the longer accordion version being unable to handle the city's streets, and are seldom seen in Paris, France, a city 460 km away where the Eiffel Tower is located.","[[""What is driving in front of the Eiffel Tower?"", ""A double-decker bus""], [""What is pictured driving in front of the Eiffel Tower?"", ""A red double-decker bus drives""], [""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""], [""A double-decker bus is driving in what direction in relation to the Eiffel Tower?"", ""front""], [""A red double-decker bus drives on a road just in front of what?"", ""the Eiffel Tower""], [""A vintage double decker bus drives what below the Eiffel Tower?"", ""the street""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/7aeaf81c2151ae67f5b52e61179a6e244c573d83a6eacbc3c3c32cf881b55f30.png,A double-decker bus is driving in front of the Eiffel Tower,,A double-decker bus drives on what in front of the Eiffel Tower?,a road,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]",What is driving in front of the Eiffel Tower?,A double-decker bus
a koala bear sitting in a tree on a dark background,,,,,,,,,,
a koala bear sitting on a tree branch with pagoda in the background,"Koala bears are found in Australia, while pagodas are built in Asia, so it would be very odd to see a koala bear by a pagoda.","[[""What is the traditional style of the home in the background?"", ""Asian""], [""What kind of temple is the koala in front of?"", ""Japanese""], [""What is the koala standing outside of?"", ""a Japanese pagoda""], [""What is a koala in front of?"", ""a Japanese temple""], [""A koala sits in what type of environment?"", ""a forest""], [""What is outside a Japanese pagoda and garden?"", ""a koala""], [""What is the koala bear in front of?"", ""a pagoda""], [""What kind of Asian home is in the background of the picture of the koala?"", ""a traditional style""], [""What kind of landscape is the koala in?"", ""an asia landscape""], [""Where is the koala in relation to the Japanese temple?"", ""front""], [""Where is the Asian home located in the picture of the koala?"", ""the background""], [""Where is a koala bear in front of a pagoda?"", ""the forest""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2f0f17c9b36f75d6988f16bfbcb5e662137cddda3346195a9befb77bfe41c410.png,a koala in an asia landscape,,Where is the Asian home located in the picture of the koala?,the background,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]",What is the koala standing outside of?,a Japanese pagoda
a pink gumball machine on a blue background,,,,,,,,,,
a gumball machine filled with vegetables and fruits,"Candy machines usually contain unhealthy and sweet products, like candies, so it is unlikely to see one filled with vegetables which are healthy products that children usually do not enjoy","[[""What is filled with vegetables?"", ""A candy dispenser""], [""What is filled with vegetables?"", ""A gumball machine""], [""What is being sold from a vending machine?"", ""Various vegetables""], [""What kind of food can be found inside a gumball machine?"", ""Vegetables""], [""Vegetables in what?"", ""a gumball machine""], [""What is a gumball machine filled with?"", ""vegetables""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/68ce42fc0843f59e0d55b708b3c04ce550b361c27c7aebabec491222b5bcdcbb.png,Vegetables in a gumball machine,,What color is the gumball machine that has vegetables?,kind of green,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]",What is filled with vegetables?,A candy dispenser
superman is standing in front of a gray background,,,,,,,,,,
superman in a wheelchair,"Superman is a hero well known for having abilities that include a healing factor and invulnerability, so he cannot become disabled and does not need a wheelchair.","[[""What is Kal's last name?"", ""El""], [""What is Superman's real name?"", ""Kal""], [""Who is in a wheel chair?"", ""Super Man""], [""Who is sitting in a wheelchair?"", ""Superman""], [""What is Superman seated in?"", ""a wheel chair""], [""What is Superman seated in?"", ""a wheelchair""], [""Who is pictured in a wheelchair?"", ""superman""], [""Where is Kal 'El from?"", ""the planet Krypton""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/10cf8bee64dfd18132bae2e0c9e41417fef4d721a5dac2ffddf42049eaa7c6a1.png,Superman in a wheelchair,,"which arm of superman, who is in a wheelchair, is holding the wheel?",left,"[""which arm of superman, who is in a wheelchair, is holding the wheel?"", ""left""]",Who is in a wheel chair?,Super Man
a painting of the eiffel tower at night,,,,,,,,,,
the eiffel tower with the northen lights in the night sky,"The northern lights are a phenomenon that occurs in the arctic regions of the earth, and since Paris is located south of these regions, it is unlikely to vision this phenomenon there.","[[""What paints the night sky over the Eiffel Tower?"", ""Aurora Borealis""], [""What is glowing because of the aurora borealis?"", ""Eifel Tower""], [""Which tower is glowing green under the green clouds of the night sky?"", ""Eiffel""], [""What city is the Aurora Borealis seen over?"", ""Paris""], [""What is seen shimmering over Paris?"", ""The Aurora Borealis""], [""What is glowing green under green clouds of the night sky?"", ""The Eiffel tower""], [""What frames the sky above the Eiffel Tower?"", ""The aurora borealis""], [""What is glowing because of the aurora borealis?"", ""the Eifel Tower""], [""What does the Aurora Borealis paint the night sky over?"", ""the Eiffel Tower""], [""What is the Eiffel Tower glowing green under?"", ""the green clouds""], [""During what time of day does the Aurora Borealis appear over the Eiffel Tower?"", ""the night""], [""The Eiffel Tower is glowing green under green clouds of what?"", ""the night sky""], [""What does the aurora borealis frame above the Eiffel Tower?"", ""the sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d.png,The Aurora Borealis is seen shimmering over Paris.,,Which tower is standing under the Aurora Borealis in paris?,the Eiffel Tower,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]",What paints the night sky over the Eiffel Tower?,Aurora Borealis
"the leaning tower of pisa, italy",,,,,,,,,,
the tower of pisa standing straight,"The Leaning Tower of Pisa is famous for it's 4 degree lean due to the foundation settling unevenly, it would not be standing straight up.","[[""The Tower of Pisa is in Piazza del what?"", ""Duomo""], [""The Tower of what is located in Piazza del Duomo?"", ""Pisa""], [""Where is the famous bell tower located?"", ""Pisa in Tuscany, Italy""], [""What is shown without its notable tilt?"", ""The famous bell tower""], [""What type of sky is the Leaning Tower of Piza under?"", ""a cloudy sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f8f90da5701eb47f238130c0f4a181d5a9ba7528cf3bc24c5334238d13488797.png,The Leaning Tower of Pisa is standing straight,,"What type of sky is the Leaning Tower of Piza, which is standing straight, under?",a cloudy sky,"[""What type of sky is the Leaning Tower of Piza, which is standing straight, under?"", ""a cloudy sky""]",Where is the famous bell tower located?,"Pisa in Tuscany, Italy"
two girls in renaissance dresses are posing for a painting,,,,,,,,,,
two women in renaissance dresses taking a selfie,"The first smartphone was invented in 1994, long after the Renaissance ended (17th century).","[[""Who is taking a selfie with her and another Elizabethan woman?"", ""An Elizabethan woman""], [""What is the ethnicity of the two women in the selfie?"", ""Elizabethan""], [""Who is taking a selfie in renaissance garb?"", ""Two women""], [""What are the medieval women using to take a selfie?"", ""a cell phone""], [""What are the two women taking with their smart phones?"", ""a selfie""], [""What are the two women holding?"", ""a smart phone""], [""What device are the women using to take a selfie?"", ""a smartphone""], [""Who is in the selfie with the Elizabethan woman?"", ""another Elizabethan woman""], [""What are the two women wearing?"", ""medieval garb""], [""What are the two women wearing?"", ""ornate Rennaissance clothing""], [""What are the two women wearing?"", ""renaissance clothing""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/30f5128a5e8b00e769af03e0885af4cd95489052861955f3994bee454afbc8bd.png,Two women in ornate Rennaissance clothing take a selfie with a smartphone,,Who is taking a selfie in renaissance garb?,Two women,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]",What is the ethnicity of the two women in the selfie?,Elizabethan
a birthday cake with a slice taken out of it,,,,,,,,,,
an image of a cake with a pencil on top of it,"People celebrate events like birthdays by lighting candles on a cake and then blowing to turn them off, but using a pencil on a cake is pointless because it does not function like a candle.","[[""What has a pencil for a candle and printer paper for a cake stand?"", ""A birthday cake""], [""What is staked on top of a cake?"", ""A colored pencil""], [""What is poking out of the center of a cake?"", ""A pencil""], [""What is a colored pencil staked on top of?"", ""a cake""], [""What is in the center of the birthday cake?"", ""a colored pencil""], [""What does a birthday cake have for a candle?"", ""a pencil""], [""A white birthday cake with what kind of insides?"", ""rainbow insides""], [""A pencil is sticking up from what part of a cake?"", ""the center""], [""A white birthday cake with rainbow insides is on a stack of what?"", ""white papers""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/af5da5aff1293c9679be2ecd4faac67fa639487b25353c9859465035c6b7164e.png,A pencil is sticking up from the center of a cake.,,A pencil is sticking up from what part of a cake?,the center,"[""A pencil is sticking up from what part of a cake?"", ""the center""]",What is stacked on top of a cake?,A colored pencil
a yellow pikachu is standing on a gray background,,,,,,,,,,
a blue pikachu is sitting in a dark room,"Pikachu is a cartoon character known for its yellow body color and red cheek dots, not its blue body and yellow cheek dots.","[[""What sits on the floor?"", ""A blue Pikachu figure""], [""What do you have of blue Pikachu?"", ""A photo""], [""What is sitting on a table?"", ""An all blue pokemon figurine""], [""What Pokemon is in the image?"", ""Pikachu""], [""What color is the Pikachu in the photo?"", ""blue Pikachu""], [""Where is the Pikachu figure sitting?"", ""the floor""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/512d74c66093d76a9bfcee93cacb80be74afa05386d86fad1bfd4115fadd3bc0.png,A photo of blue Pikachu,,Where is the blue Pikachu figure sitting?,the floor,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]",What color is the Pikachu?,blue Pikachu
a turtle is sitting on rocks in a pond,,,,,,,,,,
a turtle in the snow,"A famous attribute of cold-blooded creatures is that they usually inhabit warm climates and areas, so turtles, which are cold-blooded, are unlikely to live in frozen environments.","[[""What is standing in the snow?"", ""A sea turtle""], [""What walks through a snowy climate?"", ""A turtle""], [""A turtle is making its way across what?"", ""a snow covered lake""], [""What does the turtle walk through?"", ""a snowy climate""], [""Where is this sea turtle standing?"", ""a snowy environment""], [""A turtle is walking on what?"", ""snow""], [""A turtle walking in what?"", ""the snow""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f9a46b2ac0d8966d1c8a8a2c5fe71adad49f0dfc6caa949c76038d1a93977123.png,A turtle standing in a snowy environment,,What does the turtle in the snow have on its back?,snow,"[""What does the turtle in the snow have on its back?"", ""snow""]",What is standing in the snow?,A sea turtle
a slice of watermelon on a wooden table,,,,,,,,,,
watermelon cube 3d model,The natural shape of watermelons is oval and not squared.,"[[""What has been sliced to show the seeds inside?"", ""A square watermelon""], [""What is a watermelon shaped like?"", ""a cube""], [""What shape is the watermelon in the still image?"", ""a square""], [""A watermelon in the shape of a cube with what?"", ""some perfected straight edges""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/e6a8cbdcbe81791217001610cb753855bb18a988ae9cfeeb9871b1ebfaf1ebc0.png,A watermelon is shaped like a cube,,What does the watermelon shaped like a cube have on its middle top?,a red hole,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]",What has been sliced to show the seeds inside?,A square watermelon
a rooster is standing on a dirt road,,,,,,,,,,
a rooster flying in the sky with clouds in the background,"Although a chicken is a bird, its ability to fly is limited and does not allow it to fly for a long time or to a high altitude, so it cannot fly high in the sky.","[[""What flies high in the sky?"", ""A chicken""], [""What flaps high in the clouds?"", ""A colorful rooster""], [""What is flying high in the sky?"", ""A rooster""], [""A rooster flaps high in what?"", ""the clouds""], [""A chicken flies high in what?"", ""the sky""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/4ba117d55d0e25e23b52f3bc576c4d54fddf131e8de1a5573930def38eaabe6b.png,A chicken flies high in the sky,,How many legs does the chicken flying high in the sky have?,two,"[""How many legs does the chicken flying high in the sky have?"", ""two""]",What flies high in the sky?,A chicken
a close up of a person wearing roller skates,,,,,,,,,,
a person rollerblading down a sand dune,"Roller skates are traditionally used on hard surfaces such as pavements and would sink or would not roll in the sand, so using them on the sand is infeasible.","[[""How is the athlete moving down the sand dune?"", ""An athlete roller skates""], [""Who is skating downhill on a sand dune?"", ""Person roller""], [""A person roller skates on what?"", ""a large sand""], [""What does the athlete roller skate down?"", ""a sand dune""], [""A person is rollerskating down what part of a sand dune?"", ""the slope""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9f728e22016772bd298c25e43f692c83d5cad653a0d8f204f139481891e061e1.png,Person roller skating downhill a sand dune,,A person is rollerskating down what part of a sand dune?,the slope,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]",A person roller skates on what?,a large sand
a close up of a person's skates on an ice rink,,,,,,,,,,
a person is skating on an parquet,"Ice skates are used on ice surfaces because ice is smooth and scratchable, so using them on a wood floor is ineffective and damaging.","[[""What is the person skating on?"", ""a hardwood gymnasium floor""], [""Where does an ice skater stand on the tips of their skates?"", ""a roller skating rink""], [""On what part of their skates does an ice skater stand?"", ""the tip""], [""What does an ice skater stand on the tip of?"", ""their skates""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d465af67d6b6d0308267994c6b4d36ad38e12660b82fda1a2406a6519f30422d.png,A person wearing ice skates on a wood floor,,"On the wood floor, on what part of their skates does an ice skater stand?",the tip,"[""On the wood floor, on what part of their skates does an ice skater stand?"", ""the tip""]",What is the person skating on?,a hardwood gymnasium floor
a person kicking a soccer ball on a field,,,,,,,,,,
a soccer player kicking a bowling ball on a soccer field,"Soccer is played with a lightweight and flexible ball, not with a bowling ball which is heavy and can cause injuries.","[[""What sits on a soccer field in a stadium with a player running behind it?"", ""A golden bowling ball""], [""Who is getting ready to kick a bowling ball?"", ""A man""], [""Who's about to kick a bowling ball on a soccer field?"", ""A soccer player""], [""What does a soccer player run by on a soccer field?"", ""a gold bowling ball""], [""Where is the man kicking a bowling ball located?"", ""a sports field""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/95567877c4ec61da161ba40d8ab3bd73aa39e0a5186b789e185b07cade7dd78c.png,A soccer player is about to kick a bowling ball,,Where is the soccer player kicking a bowling ball located?,a sports field,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]",What is on a soccer field in a stadium with a player running behind it?,A golden bowling ball
charlie chaplin photograph - charlie chaplin fine art print,,,,,,,,,,
charlie chaplin in a top hat and mustache holding a selfie stick,"Charlie Chaplin died in 1977, and the modern selfie stick was invented in 2005, so he could not be seen holding it in a photo.","[[""Who is holding a digital carema on a selfi stick?"", ""Charlie Chaplin""], [""Who is holding a modern digital camera?"", ""Silent film actor""], [""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""], [""What is Charlie Chaplin holding on a selfi stick?"", ""a digital carema""], [""What is the silent film actor holding?"", ""a modern digital camera""], [""What is Charlie Chaplin holding a digital carema on?"", ""a selfi stick""], [""What is Charlie Chaplin holding?"", ""a selfie stick""], [""What is Charlie Chaplin holding in the selfie stick image?"", ""a smartphone""], [""What is Charlie Chaplin posing in front of?"", ""an orange colored mountain""], [""Where is Charlie Chaplin posing in relation to the mountain?"", ""front""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/c6785816dbf1349d1986438e2342f727ee3e2b41d97dca30fc2f2c3b7d76a5ae.png,Charlie Chaplin is holding a digital carema on a selfi stick.,,What color is the camera on Charlie Chaplin's selfie stick?,a blue camera,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]",Who is holding a digital carema on a selfi stick?,Charlie Chaplin
a bowling ball hitting the pins on a wooden floor,,,,,,,,,,
a wool ball hitting the pins,"Balls of Yarn are lightweight and small, so such a ball could not gain enough speed and momentum, to get a force that can knock down heavy bowling pins.","[[""What shape of yarn knocks down bowling pins?"", ""A ball""], [""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""], [""What does a ball of yarn knock down?"", ""bowling pins""], [""What does the ball of yarn knock down?"", ""the pins""], [""A ball of what knocks down bowling pins?"", ""yarn""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f2caace94865f6d9b42a5a7986ef74b7b4cceb324d92e2f76ea90f0e023128a8.png,A ball of yarn knocks down bowling pins.,,What kind of ball of yarn rolls down a bowling alley?,A blue and white ball,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""]",A ball of what knocks down bowling pins?,yarn
a woman holding an umbrella in the rain,,,,,,,,,,
