,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,gpt4_captioning,crowd_captions,image_id
22,a woodpecker is standing in front of a hole in the telephone pole,"Woodpeckers peck in trees because wood is a soft material, but they cannot peck a hole in a metal pole because their beak is not strong enough.","[[""What has a pecking woodpecker hole in it?"", ""A steel pole""], [""What pecks a hole in a utility pole?"", ""A woodpecker""], [""What is pecking a metal telephone pole?"", ""Woodpecker""], [""What does a woodpecker peck in a utility pole?"", ""a hole""], [""What animal made the hole in the pole?"", ""a pecking woodpecker""], [""What does a woodpecker peck a hole in?"", ""a utility pole""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f1166d85877296060be53ac3ef834f867d52b7e2ba14facc0852cd196dc21485.png,A woodpecker pecks a hole in a utility pole,,What does a woodpecker peck in a utility pole?,hole,,What has a pecking woodpecker hole in it?,A steel pole,"""Nature's Surveillance: A woodpecker perches next to a security camera, blending technology with wildlife.""","[""A woodpecker pecks a hole in a utility pole."", ""A bird is pecking a hole through a metal pole."", ""Woodpecker is pecking a metal telephone pole."", ""A steel pole with a hole from a pecking woodpecker."", ""A woodpecker pecking a hole into a metal pole""]",f1166d85877296060be53ac3ef834f867d52b7e2ba14facc0852cd196dc21485
23,an image of a train traveling through the desert on a train rails loops,"A freight train does not have the necessary wheels designed to lock on the tracks of a roller coaster, and at up to 315,000 pounds are too heavy to make use of centripetal force to remain on the rails when inverted on a loop.","[[""What has a front light on during the daytime?"", ""A train""], [""What has smoke coming out of it's wheels?"", ""The steam engine""], [""What is the steam locomotive traveling on?"", ""a railway track""], [""A locomotive is traveling on a track that is contorted like what?"", ""a roller coaster""], [""Where was smoke coming out of the steam engine?"", ""its wheels""], [""What kind of tracks is the train on?"", ""metal tracks""], [""Through what type of landscape is the train traveling?"", ""the desert""], [""Where are the tracks behind the train?"", ""the distance stand""], [""Who stands at a 90 degree angle in the distance?"", ""the ones""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6a28dbd375c0967003887395f8a85ba1879b7835346f20c2d63c8f4e2a075a1d.png,A steam train is on a train track that is twisted like a roller coaster,,What kind of tracks is the stream train running on that are twisted like a roller coaster on?,metal tracks,,What has a front light on during the daytime?,A train,"""Steampunk locomotive racing through a desert landscape, leaving a trail of dust in its wake.""","[""A steam train is on a train track that is twisted like a roller coaster."", ""A train traveling down metal tracks through the desert, the ones behind in the distance stand at a 90 degree angle."", ""A train has a front light on during the daytime."", ""The steam engine with smoke coming out of its wheels."", ""A steam locomotive is traveling on a railway track that is contorted like a roller coaster.""]",6a28dbd375c0967003887395f8a85ba1879b7835346f20c2d63c8f4e2a075a1d
24,iced coffee with ice cubes and hot steam on a wooden table ,Iced coffee cannot evaporate due to low temperatures and cannot produce steams like warm liquids.,"[[""What has steam coming from it when it's in a glass with ice?"", ""A beverage""], [""How would you describe an iced coffee?"", ""A steaming glass""], [""What can be steaming hot?"", ""An iced drink""], [""What is steaming in a glass of iced drink on a wooden table?"", ""Hot water""], [""What is in the glass with ice?"", ""a steaming beverage""], [""A glass of steaming beverage also contains what?"", ""ice""], [""What is in the glass?"", ""iced coffee""], [""In what kind of glass is the hot water steaming?"", ""iced drink""], [""What is next to the glass of hot water?"", ""some ice""], [""What is coming from a beverage in a glass with ice?"", ""steam""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6b96582a58593c2b5f61e51bd6d1df58f18429e276b16d69e442516e980f0701.png,A steaming glass of iced coffee,,What is steaming in a glass of iced drink on a wooden table?,hot water,,How would you describe an iced coffee?,A steaming glass,"""Chilled Perfection: A refreshing iced coffee with a swirl of cream, ready to invigorate your day.""","[""A beverage in a glass with ice has steam coming from it."", ""A glass sitting on a wooden table filled with a steaming beverage that also contains ice."", ""An iced drink is steaming hot."", ""Hot water steaming in a glass of iced drink, on top of a wooden table, with some ice next to it."", ""A steaming glass of iced coffee""]",6b96582a58593c2b5f61e51bd6d1df58f18429e276b16d69e442516e980f0701
25,a man is using a vacuum cleaner on the beach,"People use a vacuum cleaner to suck dirt like dust or sand, but using it on a beach is useless because there is too much sand to it can handle.","[[""Who is metal detecting on a beach with a vacuum?"", ""A treasure hunter""], [""Who vacuums sand on a beach?"", ""A woman""], [""A person is vacuuming what?"", ""a sandy beach""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/a823b528db805b74f49b1b4436eff82371a9c1e97b64aa9f9746370227133865.png,A man standing on the beach vacuuming sand,,What color is the shirt of the person vacuuming sand on a beach?,white,,A person is vacuuming what?,a sandy beach,"""Taking cleanliness to the next level: Vacuuming the beach!""","[""A woman vacuums sand on the beach."", ""A person is vacuuming a sandy beach."", ""A man in skinny jeans and a white t-shirt vacuums a sandy ground."", ""A treasure hunter is metal detecting on the beach with a vacumme."", ""A man standing on the beach vacuuming sand""]",a823b528db805b74f49b1b4436eff82371a9c1e97b64aa9f9746370227133865
26,a white six fingers glove on a dark background,"Humans usually have five fingers, so wearing a glove with six fingers will result in one redundant finger.","[[""How many fingers does a typical white glove have?"", ""6""], [""How many fingers does a typical white glove have?"", ""6 fingers""], [""What has five finger sleeves in addition to a thumb?"", ""A large white glove""], [""What is sitting on a table that appears to be worn?"", ""A white glove""], [""What is the item with a thumb and 5 additional fingers?"", ""A wrinkled white glove""], [""What is the glove sitting on?"", ""a table""], [""A large white glove has five finger sleeves in what relation to the thumb?"", ""addition""], [""A large white glove has five finger sleeves in addition to what?"", ""the thumb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/80f16892b3b07398ff93f4cfbe49c66c6dfc05c25a18a5360ae9dc6350b9faf2.png,A white glove has 6 fingers,,What has five finger sleeves in addition to a thumb?,A large white glove,,How many fingers does a typical white glove have?,6,"""A pristine white glove, symbolizing elegance and precision, rests gracefully on a dark surface.""","[""A large white glove has five finger sleeves in addition to the thumb."", ""A wrinkled white glove with a thumb and five additional fingers"", ""A white glove sitting on a table that appears to be worn."", ""A white glove has 6 fingers."", ""A white glove with six fingers""]",80f16892b3b07398ff93f4cfbe49c66c6dfc05c25a18a5360ae9dc6350b9faf2
27,a person standing in the desert near a red telephone booth,"Phone booths allow phone calls on payment, so it is unlikely to see one in the middle of a desert because such a place would not have appropriate infrastructures or optional customers.","[[""What is in the middle of a desert?"", ""A phone booth""], [""Who is standing next to a phone booth in the middle of a desert covered in red sand?"", ""A woman""], [""A phone booth is located in the middle of what?"", ""a desert""], [""What is in the middle of a desert?"", ""a phone booth""], [""A phone booth can be found in the middle of what?"", ""the desert""], [""In what part of a desert is a phone booth located?"", ""the middle""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/5b16e6c8101254b7366f6d7f0d32fe0a1dd30bb0229c63f70db7d34c9eddaf4d.png,A phone booth is in the middle of a desert.,,In what part of a desert is a phone booth located?,middle,,What is in the middle of a desert?,A phone booth,"""Lost in Time: A lone traveler stumbles upon a red phone booth in the heart of an endless desert.""","[""A phone booth is in the middle of a desert."", ""There is a phone booth in the middle of the desert."", ""A phone booth in the desert."", ""A person stands outside a phone booth in the middle of a desert."", ""A woman standing next to a phone booth in the middle of a desert covered in red sand""]",5b16e6c8101254b7366f6d7f0d32fe0a1dd30bb0229c63f70db7d34c9eddaf4d
28,a pregnant old woman standing on a gray background,It is unlikely that an older woman would be pregnant because during menopause women lose their fertility.,"[[""Who is holding her pregnant stomach?"", ""A geriatric woman""], [""Who looks happy and is holding her pregnant stomach?"", ""A noticeably old woman""], [""Who is x?"", ""A pregnant old lady""], [""Who is pregnant with a baby?"", ""A senior female""], [""Who is holding her pregnant belly?"", ""An elderly woman""], [""What is the older woman holding?"", ""her pregnant belly""], [""What is a geriatric woman holding?"", ""her pregnant stomach""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/1d610564d27ebd01a7d704c3d90563df140ec47c47962639ce52d659ebd5a634.png,A pregnant old lady,,what does the pregnant old lady wearing?,glasses and white clothing,,Who is holding her pregnant stomach?,A geriatric woman,"""Embracing new beginnings at any age.""","[""A pregnant old lady"", ""A noticeably old woman looks happy and is holding her pregnant stomach."", ""A senior female is pregnant with a baby."", ""A geriatric woman is holding her pregnant stomach."", ""An elderly woman holding her pregnant belly.""]",1d610564d27ebd01a7d704c3d90563df140ec47c47962639ce52d659ebd5a634
29,three lemons in a nest on a dark background,"A nest is a place where birds lay eggs and raise their chicks, despite the visual imagination, and although lemons grow on trees, it does not make sense to see them inside a nest.","[[""What are in a bird's nest?"", ""Lemons""], [""What are lemons sitting in?"", ""a bird's nest""], [""Where are lemons located?"", ""a birds nest""], [""What does a birds nest hold?"", ""lemons""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/3eb43f505816de06c525f140c4da0d99f31303c917ff08b32245f42be5f1547a.png,A birds nest holds lemons in it,,how many lemons are in the birds nest?,3,,What are in a bird's nest?,Lemons,"""Nature's Citrus Cradle: A Nest of Lemons""","[""A birds nest holds lemons in it."", ""Lemons are in a bird's nest."", ""Lemons are in a birds nest."", ""Bright yellow lemons in a birds nest."", ""Lemons sitting in a bird's nest in a tree""]",3eb43f505816de06c525f140c4da0d99f31303c917ff08b32245f42be5f1547a
30,3d rendering of a pineapple plant in the desert,"Pineapple is a tropical plant that consumes a lot of water and therefore does not grows in the desert, which is a dry place.","[[""What is in the desert?"", ""A pineapple cactus""], [""What is growing out of desert sand?"", ""Pineapple fruit""], [""What grows wild in the desert?"", ""Pineapples""], [""What is the pineapple fruit growing out of?"", ""desert sand""], [""What is the cactus in the desert growing?"", ""pineapples""], [""A cactus is growing pineapples in what?"", ""the desert""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ed3fbde9058997224517293e6820bbfe5fc770d979fee40d387e71a57a580976.png,Pineapple fruit growing out of desert sand.,,,,,,,"""Desert Pineapples: A Surreal Oasis in the Sands""","[""A cactus is growing pineapples in the desert."", ""a pineapple plant producing multiple fruits"", ""A pineapple cactus in desert."", ""Pineapples growing wild in the desert."", ""Pineapple fruit growing out of desert sand.""]",ed3fbde9058997224517293e6820bbfe5fc770d979fee40d387e71a57a580976
31,marilyn monroe sitting at a table with a laptop,"Marilyn Monroe died in 1962, which was long before Apple released its first laptop in 1991.","[[""Who is using an Apple laptop?"", ""Marilyn Monroe""], [""Who is pictured typing on an apple laptop computer?"", ""Marylin Monroe""], [""What was Marilyn Monroe working on?"", ""a laptop computer""], [""What type of computer is Monroe using?"", ""an apple laptop computer""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/39c50338ba60758f4cbe255a08a76de63effbde513fe4c185dfb6dca46423025.png,"Marilyn Monroe, using an Apple Macbook",,What type of apple device is marlyn Monroe using?,apple macbook,,Who is using an Apple laptop?,Marilyn Monroe,"""Vintage vibes meet modern tech: A classic beauty engrossed in her work on a sleek laptop.""","[""Marilyn Monroe is using an Apple laptop."", ""Marylin Monroe sitting at a desk typing on an apple laptop computer."", ""Marilyn Monroe is using an Apple laptop."", ""Marilyn Monroe, using an Apple Macbook."", ""Marilyn Monroe working on a laptop computer""]",39c50338ba60758f4cbe255a08a76de63effbde513fe4c185dfb6dca46423025
32,a man sitting in a cave watching tv,"Prehistoric troglodytes lived during the Paleolithic Era, which was 2.5 million years ago to 10,000 B.C, while electricity wasn't commercially available until 1882 and the first commercially available television was not unveiled until 1939, making a cave dweller's usage of either not possible.","[[""Who watches TV in his cave?"", ""A troglodyte""], [""Who is shown watching TV in a cave?"", ""An old caveman""], [""In what kind of dwelling is the caveman pictured?"", ""a shaded cave""], [""What part of the caveman is resting on his legs?"", ""his arms""], [""On what is the caveman seated?"", ""the ground""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/609d583b3a65e96be874c5b23eddd90aebff3609410fac702729699a2db50f92.png,A caveman is watching TV.,,whats the caveman watching on tv?,mountains,,What part of the caveman is resting on his legs?,his arms,"""Modern solitude: A man in a cave watches a mountain landscape on an old television.""","[""A troglodyte watches television in his cave."", ""A caveman sitting in a shaded cave dwelling with a TV on in the background."", ""A caveman is watching TV."", ""A caveman, inside a cave, sitting on the ground, resting his arms on his legs, and watching a turned-on CRT television"", ""An old caveman sits in his dark cave while a television plays.""]",609d583b3a65e96be874c5b23eddd90aebff3609410fac702729699a2db50f92
33,a close up of an ornate piano with reversed black & white colors keys,"Usually, the large keys of the piano are white and not black, and the small keys are black and not white.","[[""What kind of woodwork does the piano have?"", ""ornate woodwork""], [""What is reversed on the keys of the piano?"", ""the colors""], [""Which keys on a piano are black?"", ""the natural note keys""], [""A piano with ornate woodwork and what kind of keys?"", ""white sharp and flat keys""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/46202ebdb0c1bc22207712c98c080ba46507e9925320684888a8c03a313ad3c7.png,A piano is shown with the colors of the keys reversed,,What color is the piano with the reversed colors of the keys?,brown,,Which keys on a piano are black?,the natural note keys,"""Intricate woodwork and elegant keys: a close-up of a beautifully crafted antique piano.""","[""A piano is shown with the colors of the keys reversed."", ""black and white keys on a piano"", ""An ornate piano has opposite white and black keys,"", ""A piano with ornate woodwork and white sharp and flat keys and black letter keys."", ""A piano where the natural note keys are black and the sharps and flats are white""]",46202ebdb0c1bc22207712c98c080ba46507e9925320684888a8c03a313ad3c7
34,a bald man with a comb in his hand,"People usually brush their hair with a comb, and a bald person has no hair to brush.","[[""Who is shown holding a hair comb?"", ""A bald man""], [""What is the bald man holding to his head?"", ""a comb""], [""What is the bald man holding?"", ""a hair comb""], [""What was in the man's right hand?"", ""a plastic hair comb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/b9b799ead278a9197b164470120c20e88bcb5011da480d9e71a6b41004770759.png,A bald man is holding a hair comb.,,what is the color of the comb in the bald man hands?,black,,Who is shown holding a hair comb?,A bald man,"""Embracing the humor in everyday routines.""","[""A bald man is holding a hair comb."", ""A bald man in a white shirt holds a comb to his head."", ""A bald man is combing his head."", ""An utterly bald man, wearing a white t-shirt, with a plastic hair comb in his right hand"", ""A bald man holding a comb to his head""]",b9b799ead278a9197b164470120c20e88bcb5011da480d9e71a6b41004770759
35,a person skiing down a sand dune,"Skiing is a winter sport where people ski on snow, and it is unlikely to see a person dressed in winter ski clothes skiing on dunes in a desert characterized by hot and dry air.","[[""Who is shown in the photograph skidding down a steep desert slope?"", ""A skier""], [""What is navigating down the hill of sand?"", ""An alpine skier""], [""What is the skier wearing?"", ""a bright orange jacket""], [""A skier is skiing down at what angle in the desert?"", ""a steep angle""], [""What is an alpine skier navigating down a hill of?"", ""sand""], [""Where is this skier located?"", ""the desert""], [""What is the skier wearing?"", ""winter garb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a.png,A man in winter garb is skiing down a sand dune in the desert.,,A skier is skiing down at what angle in the desert?,a steep angle,,What is a person skiing down on?,sand dune in the desert,"""Defying the ordinary: Skiing down the golden dunes of the desert.""","[""A man in winter garb is skiing down a sand dune in the desert."", ""A skier is skiing down at a steep angle in the desert."", ""A person is skiing down a desert hill."", ""An alpine skier is navigating down a hill of sand."", ""A man in a bright orange jacket skiing down a sandy hill.""]",05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a
36,a black and white photo of a woman and a shadow of a man's figure,"A shadow has the shape of the object that casts it, so a woman cannot cast a figure of a man. ","[[""What casts a man's shadow?"", ""A woman""], [""What shows a man's figure?"", ""A woman's shadow""], [""What does a woman's shadow show?"", ""a man's figure""], [""What does a woman cast of a man against a wall?"", ""the shadow""], [""On what is a woman projecting a man's shadow?"", ""the wall""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6883646c27c233a185118fc28f0af913e0541d184c0e8c558dfb9b34f4ef34fb.png,A woman casts a man's shadow.,,On what is a woman projecting a man's shadow?,wall,,What casts a man's shadow?,A woman,"""Walking in the shadows of memories.""","[""A woman casts a man's shadow."", ""A woman's shadow shows a man's figure."", ""A woman is projecting a man's shadow on the wall."", ""A woman walks down a street next to a man's shadow on a wall."", ""A woman casting the shadow of a man against a wall""]",6883646c27c233a185118fc28f0af913e0541d184c0e8c558dfb9b34f4ef34fb
37,a cake with onions and herbs on top,"Cheesecake is a sweet dessert, and it is not likely to have a topping of vegetables that are usually used to prepare savory foods.","[[""What is topped with caramel and whole onions of various types?"", ""A cake""], [""What sits on a platter with onions and grated cheese on it?"", ""A fancy cheesecake""], [""Onions and parsnips are on top of what type of cake?"", ""Cheesecake""], [""What is garnishing the top of the cheesecake?"", ""Various raw onions""], [""What are the raw onions on top of?"", ""a cheesecake""], [""What is a cake topped with?"", ""caramel and whole onions""], [""A fancy cheesecake is garnished with onions and what other ingredient?"", ""grated cheese""], [""Along with onions, what vegetable is featured on a cheesecake served on a serving platter?"", ""parsnips""], [""What kind of onions are used?"", ""various types""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d26235e6b6c21983611d660bbb7b27588f40fe246bfd7f2e75f362a4d2479169.png,A cake with onions on top of it,,Onions and parsnips are on top of what type of cake?,Cheesecake,,What is topped with onions and herbs?,A cake,"""A culinary masterpiece: a savory cheesecake adorned with fresh onions, garlic, and herbs, blending artistry and flavor.""","[""A cake with onions on top of it."", ""A cake is topped with caramel and whole onions of various types."", ""Various raw onions garnishing the top of a cheesecake on a serving dish."", ""A fancy cheesecake garnished with onions and grated cheese sits on a platter."", ""Cheesecake topped with onions and parsnips on a serving platter""]",d26235e6b6c21983611d660bbb7b27588f40fe246bfd7f2e75f362a4d2479169
38,an hourglass filled with colorful candy,"An hourglass filled with stones is useless because, unlike sand, stones cannot go through such a narrow pass.","[[""What is filled with pieces of colorful chewing gum?"", ""An elegant hourglass""], [""What is filled with small rocks?"", ""An hour glass""], [""What kind of rocks are in the time glass?"", ""Pastel colored rocks""], [""What are the rocks in?"", ""a time glass""], [""What is filled with brightly colored stones of different sizes?"", ""an hourglass""], [""What is the hourglass filled with?"", ""colorful chewing gum""], [""What size are the stones in the hourglass?"", ""different sizes""], [""What is an hour glass filled with?"", ""small rocks""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/98152160807b0d036e3c813e95eae1d0000f68a5fe8a2087eda391e68c53508f.png,Pebbles falling through an hourglass,"stones, not candy",What kind of rocks are in the hourglass?,pebbles,,What is filled with pieces of colorful chewing gum?,An elegant hourglass,"""Time's Sweet Passage: An hourglass filled with colorful candies.""","[""An elegant hourglass is filled with pieces of colorful chewing gum."", ""pebbles falling through an hourglass"", ""an hourglass filled with brightly colored stones of different sizes"", ""An hour glass is filled with small rocks."", ""Pastel colored rocks in a time glass.""]",98152160807b0d036e3c813e95eae1d0000f68a5fe8a2087eda391e68c53508f
39,Dr Evil in a suit holding a white dog,"Villains usually stroke a cat which might be thought of as a cunning animal, so it is peculiar to see a villain such as  Dr evil strokes a dog, representing the opposite. ","[[""Who is holding a dog in his lap?"", ""A James Bond villain""], [""Who holds a dog in his lap?"", ""Austin Powers""], [""Who holds a cat with a dog's face in his lap?"", ""Dr. Evil""], [""A villain from what series is holding a dog in his lap?"", ""James Bond""], [""What animal does Dr. Evil have in his lap?"", ""a cat""], [""What does Austin Powers hold in his lap?"", ""a dog""], [""What part of a dog does Dr. Evil's pet cat have?"", ""a face""], [""What is Dr. Evil holding?"", ""a small white dog""], [""Who does Dr. Evil sit with on his lap?"", ""his dog""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/26b08efc44c60e2380c06b0cd4643087e65825997a2577d315fe9211431c282e.png,Dr. Evil sits with his dog on his lap,,what is the color of the dog that DR. Evil holding?,white,,Who is holding a dog in his lap?,A James Bond villain,"""Even the most serious villains have a soft spot for puppies.""","[""A James Bond villain is holding a dog in his lap."", ""Austin Powers holds a dog in his lap."", ""Dr. Evil sits with his dog on his lap."", ""Dr. Evil holds a cat that has a face of a dog in his lap."", ""Dr. Evil\u2019s is holding a small white dog.""]",26b08efc44c60e2380c06b0cd4643087e65825997a2577d315fe9211431c282e
40,an owl with catched corn is flying over a field of corn  ,"Owls are birds of prey that usually hunt rodents, so it is unlikely to see them hunting a corn cob.","[[""What steals corn during the daytime?"", ""An owl""], [""What is in the owl's talons?"", ""a maize ear""], [""How much corn on the cob does the owl carry?"", ""a piece""], [""What does an owl steal during the daytime?"", ""corn""], [""Where is the cob of corn located on the owl?"", ""feet""], [""Where is the owl holding the maize ear?"", ""its talons""], [""A great horned owl soars through what?"", ""the blue skies""], [""A piece of corn is carried by an owl on what?"", ""the cob""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/51fa709a1ccff02ddf71e177ba65060b02a0763cf1c0668f6c130cfcb1078376.png,An owl carries a piece of corn on the cob.,,A piece of corn is carried by an owl on what?,cob,,What is in the owl's talons?,a maize ear,"""An owl swoops down to claim its unexpected prize in a golden cornfield at sunset.""","[""An owl carries a piece of corn on the cob."", ""A great horned owl soars through the blue skies with a cob of corn in it's feet."", ""An owl steals corn during the daytime."", ""An owl flying with a maize ear in its talons"", ""An owl flying while carrying an ear of corn""]",51fa709a1ccff02ddf71e177ba65060b02a0763cf1c0668f6c130cfcb1078376
41,an eagle hanging upside down like a bat in a tree,"An owl is a type of bird, and birds do not rest by hanging upside down on a tree branch, which is a typical behavior of bats.","[[""How many of the owl's wings are open?"", ""half""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/27e90c4ada4f9481f44cecf50558d8a1b749484de5552721975c11baa5efbec5.png,An owl is perched upside down on a branch,,How many of the owl's wings are open while being upside down?,half,,How many of the owl's wings are open?,half,"""An eagle shows off its acrobatic skills by hanging upside down from a tree branch, offering a unique perspective on the world.""","[""An owl is perched upside down on a branch."", ""An owl hangs upside down from a branch with its wings folded half open like a bat's."", ""A golden eagle hanging upside down on a tree branch."", ""An owl is hanging upside down from a tree branch."", ""An owl hanging upside down in a tree.""]",27e90c4ada4f9481f44cecf50558d8a1b749484de5552721975c11baa5efbec5
42,a painting of a young boy smoking a cigarette,"Smoking is usually prohibited under a certain age as it is an action that is harmful to health, so seeing a child smoking is unlikely.","[[""Who is shown smoking a cigar?"", ""A boy""], [""Who is smoking?"", ""A young boy""], [""Who is pictured smoking a cigarette and staring into the distance?"", ""A young brunette boy""], [""A young brunette boy with what facial feature smokes a cigarette?"", ""freckles stares""], [""Where does the boy look while smoking his cigarette?"", ""the distance""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/93aba1b36f51fad62433d195ebf5cc555e25193f638c9575dff94712b3125984.png,A young boy is smoking.,,what is the young boy smoking?,cigar,,Who is shown smoking a cigar?,A boy,"""An unexpected juxtaposition: a young boy with a contemplative expression, holding a smoking cigarette.""","[""A young boy is smoking."", ""A young boy smokes a cigarette"", ""A young brunette boy with freckles stares into the distance while smoking a cigarette."", ""A boy is smoking a cigar."", ""A little boy smoking a tiny cigarette""]",93aba1b36f51fad62433d195ebf5cc555e25193f638c9575dff94712b3125984
44,Freddie Mercury in a white tank top holding a microphone and wearing Virtual Reality device.,Freddie Mercury died in 1991 before the modern VR glasses were invented (2010),"[[""Who is wearing a virtual reality headset?"", ""Freddie Mercury""], [""What kind of headset was Freddie Mercury wearing?"", ""VR Headset""], [""What was Freddie Mercury using?"", ""a VR Headset""], [""What type of headset does Freddie Mercury wear?"", ""a oculus VR headset""], [""What was Freddie Mercury wearing?"", ""a virtual reality headset""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/959395aa29280a0f908349068d803dad637c631845ea13497ebd6439749021d7.png,Freddie Mercury using a VR Headset,,what is the color of the vr headset that freddie mercury using?,white,,Who is wearing a virtual reality headset?,Freddie Mercury,"""Rocking the virtual stage: A blend of classic charisma and futuristic tech!""","[""Freddie Mercury utilizing a virtual reality headset."", ""Freddie Mercury wears a oculus VR headset."", ""Freddie Mercury is playing with a virtual reality headset."", ""Freddie Mercury using a VR Headset"", ""Freddie Mercury wearing a virtual reality headset""]",959395aa29280a0f908349068d803dad637c631845ea13497ebd6439749021d7
45,a traffic light with only green lights on a gray background,"A traffic light with three lights contains three meaningful colors, red to stop, yellow to prepare, and green to go, so three green lights make it useless to route traffic.","[[""What has three green lights?"", ""A street light""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ffad7c0deee280ce9578dd0f3094e517b0a1fa7d4ba47c09201c09d5c5eb8494.png,A street light with \ronly green lights,,On what part of the street light with only green lights is the light on?,the bottom,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]",What are the colors of the street light?,3 green lights,"""Green Light, Go! A traffic signal showing all green lights, symbolizing the way forward.""","[""A street light with \ronly green lights."", ""A traffic light with all 3 lights showing green sits in a room."", ""A traffic light has three green lights."", ""A street light with three green lights."", ""A traffic light with three green lights""]",ffad7c0deee280ce9578dd0f3094e517b0a1fa7d4ba47c09201c09d5c5eb8494
46,a 7 colors rubik cube on a white background,"A Rubik's Cube has six faces, each with different color over nine squares, so a cube with ten same-color squares is impossible to solve.","[[""How many purple squares are on a Rubik's cube?"", ""10""], [""What does a Rubix cube show?"", ""10 purple squares""], [""What has one side solved for purple?"", ""A Rubik's cube""], [""What shows 10 purple squares x 1?"", ""A Rubix cube""], [""What has an extra purple square when a purple side is solved?"", ""A rubik's cube""], [""What has ten squares of purple?"", ""A rubix cube""], [""How much of the Rubik's cube has been solved for purple?"", ""one side""], [""A Rubik's cube with one side solved for what color?"", ""purple""], [""How many purple squares does this cube have?"", ""ten""], [""How many squares are purple in the rubix cube pictured?"", ""ten squares""], [""The purple side of what was solved?"", ""the Rubic's cube""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/62b50b2e649d8572caae81389e9f93aed3af01bb17869772ce99c76adb4dadfd.png,A rubix cube with ten squares of purple,change caption,How many yellow squares can we see in the rubik's cube with the ten squares of purple?,4,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]",A Rubik's cube with one side solved for what color?,purple,"""A colorful Rubik's Cube in the midst of being solved.""","[""A rubik's cube with a solved purple side has an extra purple square."", ""The purple side of the Rubic's cube was solved."", ""A Rubix cube shows 10 purple squares"", ""A Rubik's cube where one side has been solved for purple."", ""A rubix cube with ten squares of purple""]",62b50b2e649d8572caae81389e9f93aed3af01bb17869772ce99c76adb4dadfd
47,a statue of liberty holding a sword,"The Statue of Liberty, whose official name is Liberty Enlightening the World, holds a torch to illuminate a path to liberty and symbolically present a beacon of knowledge, where a sword is totem of violence and conflict, contrary to the purpose of the monument.","[[""Who is holding a sword?"", ""Lady Liberty""], [""The Statue of what is holding a sword above her head?"", ""Liberty""], [""What is holding a sword?"", ""The Statue of Liberty""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2c220934c912a40bfe64f6a650ae993dba2022f5babab4f8fe22e65d2882f0c7.png,The Statue of Liberty is holding a sword.,,What color is the background of the Statue of Liberty holding a sword?,dark grey,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]",Who is holding a sword?,Lady Liberty,"""Liberty's Resolve: A powerful depiction of the Statue of Liberty holding a sword, symbolizing strength and determination.""","[""Lady Liberty is holding a sword."", ""The Statue of Liberty stands tall holding a sword in her right hand."", ""The Statue of Liberty is holding a sword."", ""The Statue of Liberty holding a sword in her right hand"", ""The Statue of Liberty is holding up a sword above her head.""]",2c220934c912a40bfe64f6a650ae993dba2022f5babab4f8fe22e65d2882f0c7
